"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ANGPT4"	-1.15264771421154	0.691861723044245	-15.4324805827256	1.20762043585307e-29	1.12861722976923e-27	56.8920644538523
"TNS1"	-2.12446764618544	4.94828893396149	-15.3895169691012	1.49730927664302e-29	1.38639747837317e-27	56.6780676092928
"CBX7"	-1.41402175940882	2.7669859683098	-15.3817506188999	1.55668823999304e-29	1.42815434861747e-27	56.6393610291518
"TMEM182"	0.826507173339965	1.07378806084602	15.3625728226679	1.71365081670047e-29	1.55786437881861e-27	56.5437506587694
"CRYAB"	-1.79227663672589	2.83008709909811	-15.3417104750112	1.90251863655873e-29	1.71398075365651e-27	56.4396927892175
"PRDX4"	1.55685814006263	5.32994221840693	15.3205957754465	2.11498466343164e-29	1.88837916377825e-27	56.3343240894721
"KIF20A"	1.92117649102675	1.54748539746297	15.3143289172262	2.18251864590564e-29	1.93143243000499e-27	56.303040499908
"NOVA2"	-1.10726953480626	1.10254873129538	-15.2357019560704	3.23888289269399e-29	2.81855127344717e-27	55.910150657759
"TMEM100"	-3.66220632594955	3.43029290081873	-15.2355514161946	3.24133396446424e-29	2.81855127344717e-27	55.9093977339345
"HM13"	0.864522331837017	4.06885433821009	15.2233986173373	3.44547814393206e-29	2.97023977925178e-27	55.8486068980985
"RAI2"	-1.65168302378796	3.17065299114707	-15.2128587578596	3.63296066907168e-29	3.10509458895015e-27	55.795870377202
"CYYR1"	-1.70250674338982	3.20662420029965	-15.2063058706693	3.75465581470958e-29	3.181911707381e-27	55.763076273357
"KIF1C"	-1.23950408341667	4.63542518614237	-15.1857880693962	4.16282805346588e-29	3.49817483484528e-27	55.6603620484213
"FAM136A"	1.0555238799521	3.44198198242623	15.1534550824476	4.89844585941701e-29	4.08203821618084e-27	55.498400495579
"LPL"	-2.76784473886232	4.24370198839533	-15.1404809242897	5.22914268237188e-29	4.32160552262139e-27	55.4333765868573
"UBE2C"	3.02924359058591	2.77743439990901	15.078495827328	7.14655680464445e-29	5.85783344642988e-27	55.1224508668328
"EEF2KMT"	0.705940892526684	1.79032599153385	15.0734404784863	7.33111273658473e-29	5.96025425738596e-27	55.0970729903055
"ODAM"	-1.20986637023821	0.908008361461419	-15.0097253613504	1.01120187410836e-28	8.15485382345454e-27	54.77697089617
"RETN"	-2.96398077668511	3.05709634961085	-14.9863449314661	1.137993562481e-28	9.10394849984802e-27	54.6593918447717
"SLC35F2"	1.72544548835509	2.82429605773807	14.9394092156776	1.44280871500571e-28	1.14508628175057e-26	54.4231659399392
"SIRPB1"	-1.67038895319204	1.74346198968959	-14.9181212056423	1.6069120284037e-28	1.26528506173519e-26	54.315941386798
"NMUR1"	-1.14256781191391	0.924400165628324	-14.8415751225841	2.36807880349563e-28	1.85006156523096e-26	53.9299655758003
"NEBL"	-1.43470965262288	3.09869760615663	-14.834685471271	2.45226647723281e-28	1.90098176529675e-26	53.8951927335072
"TOM1L2"	-1.28400707151456	3.24619082264816	-14.816904391809	2.68369752187485e-28	2.0643827091345e-26	53.8054249286061
"DUOXA1"	-2.15688306985016	2.82106681582562	-14.8083178350244	2.80318944062668e-28	2.13983926765395e-26	53.7620629480952
"C20orf202"	-0.801520655093005	0.655730066457743	-14.7516922075559	3.73685359589549e-28	2.83094969386022e-26	53.4758972365511
"SPN"	-1.88910626712918	2.94916141998243	-14.7381927026482	4.00215587158023e-28	3.00913975306784e-26	53.4076225899983
"HID1-AS1"	-0.87424893541806	0.687837816951918	-14.6914006019896	5.07706992212522e-28	3.78885815083972e-26	53.1708112008739
"NPM3"	1.50732571279509	3.76541316811158	14.6796787717584	5.38904724145265e-28	3.99188684552048e-26	53.1114497501229
"SEMA3G"	-2.28191406350528	2.4729704891528	-14.6488496334411	6.30462146287693e-28	4.6357510756448e-26	52.9552527718009
"MASP1"	-0.888201335832014	0.674712167581695	-14.6428797987956	6.49920810543805e-28	4.74394752221755e-26	52.9249942296607
"STK39"	1.32231489513702	3.25218239209903	14.6383746249279	6.65003778723205e-28	4.81886796176236e-26	52.9021568207961
"ANKRD1"	-3.60572457979726	2.87455452832668	-14.626274860967	7.07275841572085e-28	5.08831540699341e-26	52.8408101955694
"ASPA"	-0.831402297185675	0.68245761717239	-14.6060284745646	7.84132604785784e-28	5.60094717704131e-26	52.7381235459615
"SLC39A11"	1.25533442124877	3.15889308817439	14.5669859852399	9.56834520422385e-28	6.78606042852755e-26	52.5399786209588
"AATK"	-1.73076496660088	1.95369022793921	-14.5327882863081	1.13924285401273e-27	8.02283700008964e-26	52.3662843359178
"CD300LG"	-1.91273628487349	1.10841606514369	-14.5129911344093	1.26040628302485e-27	8.81402995122274e-26	52.2656738360928
"PARAL1"	-1.91266998972093	1.65719953929618	-14.4980061265829	1.3606537205303e-27	9.44898417034931e-26	52.1894906107426
"HACD4"	-1.08000813097365	2.20790782332177	-14.4853364212478	1.45163532954867e-27	1.00112781348184e-25	52.1250592576528
